key,prezzo_vinted,ct_min,note
Pokemon|Fasez|006/015|UNK|ITA|1,1.00,,exp non trovata
Pokemon|Base|93/124|UNK|ITA|2,1.00,,exp non trovata
Pokemon|Base|013/015|UNK|ITA|3,1.00,,exp non trovata
Pokemon|Base|013/015|UNK|ITA|4,1.00,,exp non trovata
Pokemon|Base|005/015|UNK|ITA|5,1.00,,exp non trovata
Pokemon|Base|092/172|UNK|ITA|6,1.00,,exp non trovata
Pokemon|Fase|038/189|UNK|ITA|7,1.00,,exp non trovata
Pokemon|Fase|109/172|UNK|ITA|8,1.00,,exp non trovata
Pokemon|Base|004/015|UNK|ITA|9,1.00,,exp non trovata
Pokemon|Base|98/145|UNK|ITA|10,1.00,,exp non trovata
Pokemon|Fase|051/172|UNK|ITA|11,1.00,,exp non trovata
Pokemon|Ball|132/159|UNK|ITA|12,1.00,,exp non trovata
Pokemon|Base|124/172|UNK|ITA|13,1.00,,exp non trovata
Pokemon|Ball|132/159|UNK|ITA|14,1.00,,exp non trovata
Pokemon|Fase|059/189|UNK|ITA|15,1.00,,exp non trovata
Pokemon|Fasel|091/189|UNK|ITA|16,1.00,,exp non trovata
Pokemon|Base|018/091|PAF|ITA|17,1.00,,exp non trovata
Pokemon|Aluto|129/172|UNK|ITA|18,1.00,,exp non trovata
Pokemon|Ajuto|150/189|UNK|ITA|19,1.00,,exp non trovata
Pokemon|Pok|137/159|UNK|ITA|20,1.00,,exp non trovata
Pokemon|Base|018/091|PAF|ITA|21,1.00,,exp non trovata
Pokemon|Base|014/015|UNK|ITA|22,1.00,,exp non trovata
Pokemon|Recupero|127/159|UNK|ITA|23,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|24,1.00,,exp non trovata
Pokemon|Base|137/189|UNK|ITA|25,1.00,,exp non trovata
Pokemon|Train|001/001|UNK|ITA|26,1.00,,exp non trovata
Pokemon|Fase|029/195|UNK|ITA|27,1.00,,exp non trovata
Pokemon|Ultra|146/159|UNK|ITA|28,1.00,,exp non trovata
Pokemon|Ultra|146/159|UNK|ITA|29,1.00,,exp non trovata
Pokemon|Base|026/159|UNK|ITA|30,1.00,,exp non trovata
Pokemon|Base|702/084|UNK|ITA|31,1.00,,exp non trovata
Pokemon|Fasel|009/015|UNK|ITA|32,1.00,,exp non trovata
Pokemon|Basig|116/191|SSP|ITA|33,1.00,,exp non trovata
Pokemon|Ajuto|001/001|PRE|ITA|34,1.00,,exp non trovata
