key,nome,set,numero,lingua
Pokemon|Fasez|006/015|UNK|ITA|1,Fasez,UNK,006/015,ITA
Pokemon|Base|93/124|UNK|ITA|2,Base,UNK,93/124,ITA
Pokemon|Base|013/015|UNK|ITA|3,Base,UNK,013/015,ITA
Pokemon|Base|013/015|UNK|ITA|4,Base,UNK,013/015,ITA
Pokemon|Base|005/015|UNK|ITA|5,Base,UNK,005/015,ITA
Pokemon|Base|092/172|UNK|ITA|6,Base,UNK,092/172,ITA
Pokemon|Fase|038/189|UNK|ITA|7,Fase,UNK,038/189,ITA
Pokemon|Fase|109/172|UNK|ITA|8,Fase,UNK,109/172,ITA
Pokemon|Base|004/015|UNK|ITA|9,Base,UNK,004/015,ITA
Pokemon|Base|98/145|UNK|ITA|10,Base,UNK,98/145,ITA
Pokemon|Fase|051/172|UNK|ITA|11,Fase,UNK,051/172,ITA
Pokemon|Ball|132/159|UNK|ITA|12,Ball,UNK,132/159,ITA
Pokemon|Base|124/172|UNK|ITA|13,Base,UNK,124/172,ITA
Pokemon|Ball|132/159|UNK|ITA|14,Ball,UNK,132/159,ITA
Pokemon|Fase|059/189|UNK|ITA|15,Fase,UNK,059/189,ITA
Pokemon|Fasel|091/189|UNK|ITA|16,Fasel,UNK,091/189,ITA
Pokemon|Base|018/091|PAF|ITA|17,Base,PAF,018/091,ITA
Pokemon|Aluto|129/172|UNK|ITA|18,Aluto,UNK,129/172,ITA
Pokemon|Ajuto|150/189|UNK|ITA|19,Ajuto,UNK,150/189,ITA
Pokemon|Pok|137/159|UNK|ITA|20,Pok,UNK,137/159,ITA
Pokemon|Base|018/091|PAF|ITA|21,Base,PAF,018/091,ITA
Pokemon|Base|014/015|UNK|ITA|22,Base,UNK,014/015,ITA
Pokemon|Recupero|127/159|UNK|ITA|23,Recupero,UNK,127/159,ITA
Pokemon|Base|001/001|UNK|ITA|24,Base,UNK,001/001,ITA
Pokemon|Base|137/189|UNK|ITA|25,Base,UNK,137/189,ITA
Pokemon|Train|001/001|UNK|ITA|26,Train,UNK,001/001,ITA
Pokemon|Fase|029/195|UNK|ITA|27,Fase,UNK,029/195,ITA
Pokemon|Ultra|146/159|UNK|ITA|28,Ultra,UNK,146/159,ITA
Pokemon|Ultra|146/159|UNK|ITA|29,Ultra,UNK,146/159,ITA
Pokemon|Base|026/159|UNK|ITA|30,Base,UNK,026/159,ITA
Pokemon|Base|702/084|UNK|ITA|31,Base,UNK,702/084,ITA
Pokemon|Fasel|009/015|UNK|ITA|32,Fasel,UNK,009/015,ITA
Pokemon|Basig|116/191|SSP|ITA|33,Basig,SSP,116/191,ITA
